Cluster,OTU_ID,n,Colour,Degree
5,874f68e0f8ca56c99e556c882f7c8831,167,#EEA236FF,1
2,7182ae14e40b3851ef2fc36882053550,129,#9632B8FF,3
4,26defcad0a413ccbc4134c59b5c0905f,116,#357EBDFF,1
6,744321cb23193b693d85f7e8e0fd6b90,175,#339900FF,1
5,83956aaab933af6066720891a5a0d261,167,#EEA236FF,1
6,7af839dabe3a4c4717f7a1f0d64663a9,175,#339900FF,1
6,b8bb9acc65aeb1dc365e4dbb6ce4dca1,175,#339900FF,3
6,f04a8843b50a1c93fd808b6e2c41c462,175,#339900FF,1
1,67c219dd54817c53f58880534a725dee,49,#FAFD7CFF,4
5,47bba424b829322ef84b233d7ccdf79f,167,#EEA236FF,1
6,500088ad502db12cf190a0d908640cf1,175,#339900FF,9
6,c835ae364a952e5d9377ea9b1b250bda,175,#339900FF,1
7,5c732fa1fcd37fb805cd85824000d208,48,#E762D7FF,4
6,10c55e340880ffbdba9cbd7d2a1e1572,175,#339900FF,1
6,663f890d4e46ece264277e2d425560ea,175,#339900FF,2
6,7990e730f974271ebfd7e3a8a0cfc948,175,#339900FF,2
4,2fc57e79de44ed1f662497532b95668f,116,#357EBDFF,2
5,226f10a2571fc9ca9866b41fc4a260c1,167,#EEA236FF,1
3,f943ed8fd508c97b68a69283bf1babb5,4,#D43F3AFF,1
6,6cb216a2d70512c0120ad996c102d797,175,#339900FF,1
4,5aaee2a39c8071c6eb72b4133ab61312,116,#357EBDFF,1
5,d1a6e36fa27e15661323ab0d43fab8b4,167,#EEA236FF,2
3,e5ffb61c3432c43cd5f8d5a5117afedb,2,#D43F3AFF,1
6,81bacac464eb34e4e3a83af2b6042f80,175,#339900FF,1
2,2f5d81646f6fc8afd1a95c7d8ee35600,129,#9632B8FF,1
5,8f7dc178035d6b93265260e42169b651,167,#EEA236FF,1
3,aa6537dbd462149a8d7383c03d45d1d9,2,#D43F3AFF,1
3,b5d6843765969c231890371baecb938e,4,#D43F3AFF,1
8,d021ccf12a33784f4c086a451e9668a5,16,#7e7b52,1
5,bd6a10cdceecb27d50b9272e13e1d2b9,167,#EEA236FF,1
3,2c793152458beb868df841eb479d6339,4,#D43F3AFF,1
10,76d4068419169944cb4a5c4834f41a6a,77,darkgrey,1
4,7719788844357e409d86c14254be6f09,116,#357EBDFF,1
7,741e212024134a9bbb217937ab683f5a,48,#E762D7FF,1
4,dca0f027155cfbbf11ab17b6350d949b,116,#357EBDFF,1
3,8f74ddd054ba18d912412be8ea1e12e8,4,#D43F3AFF,1
5,e093ab744c842bf935aad84e560586ad,167,#EEA236FF,1
6,9022be68b7db869b9f5b533e9b2d0025,175,#339900FF,1
10,851f622820f2a318cb103f947607c74d,77,darkgrey,1
