Cluster,OTU_ID,n,Colour,Degree
10,772007c8b80a45f314acbe4e806f37a2,77,darkgrey,4
5,774002d93bc8b2b101753adc59dbd6a3,167,#EEA236FF,16
6,776f04c99effa9b3ffa4455e5ac7a646,175,#339900FF,32
5,77aa620f8e728be05d7d03d853f88967,167,#EEA236FF,11
1,77ad962abeadf0133594754f4c7ce61a,49,#FAFD7CFF,17
2,77d24901cbeffd3474c4fe3bb52d7d7d,129,#9632B8FF,1
6,78108768d4b5d93061284280e2dae3eb,175,#339900FF,25
4,78a0098fcc85c427a91ef77342220436,116,#357EBDFF,3
4,78b5dc854d78b6a44a15f17fff523269,116,#357EBDFF,6
6,79034543545874704961c1c87f21c127,175,#339900FF,10
6,7990db6b9bdefc7890e834e16d5b9b42,175,#339900FF,24
6,79e3ac10a2d72159ce7374eda836582d,175,#339900FF,27
8,7a1011dfbc8b253cb0032a00e74454e9,16,#7e7b52,4
5,7a1744364c77357118f18f188410a6a0,167,#EEA236FF,6
4,7a2078194d59b9c944a83918923ecdf9,116,#357EBDFF,1
7,7a2aee24054fc5614d127025c3903048,48,#E762D7FF,27
5,7ad0875409ba5a4ab47602b358817d72,167,#EEA236FF,1
4,7b731c782416a790f6d0b1b86d46aa5f,116,#357EBDFF,16
2,7b74bf428931286ad601ed529a7c19ae,129,#9632B8FF,4
9,7bade76c2aa6bf9499b1ea8cf3df1bfd,12,#FDAF91FF,3
6,7c49cc94b800e0e63489184774ddc57c,175,#339900FF,5
5,7ce3c32a755a6b4757714accc21540a3,167,#EEA236FF,7
7,7d13dad4cb9c4076e81815e263c1e9bf,48,#E762D7FF,4
10,7d252938dc9274396c45a06fbe7121a4,77,darkgrey,6
5,7d75ea9a3330ae785d6ab7f21342e9e5,167,#EEA236FF,8
5,7e827fb5b75b230c4e2a620de3977cd7,167,#EEA236FF,20
4,7f0f996f4c72a45c542d3df0874ad705,116,#357EBDFF,2
7,7f7463b43f54eeca33612b025968e340,48,#E762D7FF,2
6,7ff30d90bb5fb992f3c68ad1f89d5434,175,#339900FF,4
2,8007c707a1b98cd80542b93ca122db22,129,#9632B8FF,5
7,807c6e482d942279c05ace550abbd050,48,#E762D7FF,2
7,812214fd48e2ebc3c188f54f83af2ee8,48,#E762D7FF,3
2,816e245ca59f836cba504377a90b8e0d,129,#9632B8FF,6
10,817a7bb93b59d96e999a5559f923f307,77,darkgrey,1
5,81f53d092132d8f2faeaf7f8fe6d2400,167,#EEA236FF,4
5,838578e62435ad0daca804b83cc5037f,167,#EEA236FF,22
6,83d210e2b37fd46ab9d0de8896b6d263,175,#339900FF,3
5,83f82bf039380fb758e187e53b216c52,167,#EEA236FF,3
2,84116e0fbfc1cc20a9945f057e7e2e0b,129,#9632B8FF,59
6,846848096fc1dc8d94f01139512f4baa,175,#339900FF,6
