"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22"
"300-200-0.22",1,1,1,1,1,0.92,1,1,0.92,1,0,1,1,0.86,-0.85,1,1,0.53,-1,1,1,1,1,-0.2,1,1,1,1,-0.5,1,1,1,-0.08,1,1,0.54,1,1,0.84,1,0.61,1,1,0.34,1,0.77,0.92,0.29,0.51,0.61,0.88,0.77,0.98,1,0.2,1,1,-0.94,1,0.94,-0.25,1,1,1,0.89,1,0.99,1,1,1,1,1,1
"300-40-0.22",1,1,1,1,1,1,1,1,0.91,-0.99,1,0,-1,1,1,-1,-0.97,1,1,-1,0.28,1,-0.66,1,-0.71,-0.82,-1,-1,1,-1,-0.96,-1,1,-0.79,-1,1,-1,0.94,1,-0.85,1,-0.78,1,1,-0.77,1,0.96,1,1,1,1,1,0.97,-0.38,0.98,0.65,-0.56,1,-0.32,0.81,1,1,1,0.73,1,-1,1,0.65,1,1,0.79,1,1
"300-60-0.22",1,1,1,1,1,1,1,1,0.75,-0.95,1,-1,0,1,1,-0.88,-0.9,1,1,-0.8,0.24,1,-0.03,1,-0.21,0,-0.68,-0.72,1,-0.29,-0.19,-0.6,1,0.01,-0.54,1,0.08,0.98,1,0.15,1,0.35,1,1,0.03,1,0.97,1,1,1,1,1,0.98,-0.12,0.95,0.72,-0.24,1,-0.06,0.79,1,1,1,0.84,1,-1,1,0.1,0.97,1,0.41,1,1
"302-100-0.22",1,1,1,1,1,1,1,1,-0.53,1,0.86,1,1,0,0.44,1,0.31,-1,0.85,1,0.19,-0.71,1,0.99,1,1,1,1,0.62,1,1,1,0.99,1,1,1,1,0.11,0.36,1,1,0.99,-0.05,0.8,0.98,0.99,-0.52,-0.5,0.79,1,-0.48,0.39,1,0.63,-0.73,0.91,0.1,0.15,0.74,0.63,0.88,0.95,1,1,1,1,0.23,1,0.12,-0.59,0.84,0.85,0.88
"302-200-0.22",1,1,1,1,1,1,1,1,0.83,1,-0.85,1,1,0.44,0,1,1,-0.11,-0.81,1,1,0.84,1,-0.43,1,1,1,1,-0.23,1,1,1,-0.02,1,1,0.76,1,1,0.45,1,0.56,1,1,-0.04,1,0.01,0.67,0.14,-0.14,0.36,0.66,0.35,0.99,1,0.09,1,0.99,-0.89,1,0.98,0.32,1,1,1,1,1,0.81,1,1,0.98,1,1,1
"302-40-0.22",1,1,1,1,1,1,1,1,0.94,-0.58,1,-1,-0.88,1,1,0,-0.82,1,1,-1,0.05,1,-0.97,1,-0.97,-0.93,-1,-1,1,-1,-0.99,-1,1,-0.99,-1,1,-0.99,0.95,1,-0.86,1,-0.6,0.99,1,-0.74,1,0.77,1,1,1,1,1,0.92,-0.13,0.96,0.7,-0.23,1,-0.68,0.77,1,1,1,-0.33,1,-1,1,0.59,1,1,0.63,1,1
"302-60-0.22",1,1,1,1,1,1,1,1,0.27,-0.45,1,-0.97,-0.9,0.31,1,-0.82,0,0.98,1,-0.66,-1,0.78,0.68,1,0.58,0.21,0.11,0.39,1,0.55,0.62,0.33,1,0.6,0.28,1,0.73,0.37,1,0.8,1,0.62,0.81,0.99,0.17,1,0.46,0.99,1,1,1,1,0.93,-0.54,0.49,0.36,-0.61,0.88,-0.59,0.67,1,0.98,1,0.45,1,-0.83,1,0.6,0.52,0.69,-0.34,1,0.92
"304-100-0.22",1,1,1,1,1,1,1,1,0.33,1,0.53,1,1,-1,-0.11,1,0.98,0,0.4,1,0.99,-0.09,1,0.66,1,1,1,1,0.07,1,1,1,0.87,1,1,1,1,0.8,0.51,1,0.97,1,0.62,0.77,1,0.9,0.11,-0.34,0.62,0.98,0.2,0.72,1,0.96,-0.17,1,0.93,-0.18,1,0.96,0.91,1,1,1,1,1,0.29,1,0.82,0.74,1,1,1
"304-200-0.22",1,1,1,1,1,0.96,1,1,0.91,1,-1,1,1,0.85,-0.81,1,1,0.4,0,1,1,0.95,1,-0.7,1,1,1,1,-0.67,1,1,1,-0.91,1,1,-0.26,1,1,0.52,1,-0.61,1,1,-0.28,1,-0.45,0.66,-0.18,-0.53,-0.42,0.77,0.36,0.87,1,0.51,1,1,-0.84,1,1,-0.05,1,1,1,0.71,1,0.91,1,1,1,1,1,1
"304-40-0.22",1,1,1,1,1,1,1,1,0.99,-0.43,1,-1,-0.8,1,1,-1,-0.66,1,1,0,-0.15,1,-0.94,1,-0.96,-0.93,-1,-0.99,1,-0.99,-0.98,-1,1,-0.97,-0.99,1,-0.94,1,1,-0.74,1,-0.46,1,1,-0.34,1,0.98,1,1,1,1,1,0.97,0.19,0.95,0.74,-0.3,1,-0.76,0.83,1,1,1,-0.02,1,-1,1,0.53,1,1,0.4,1,1
