"","1_P1-100-3","1_P1-20-3","1_P1-200-3","1_P1-40-3","1_P1-60-3","2_P1-100-3","2_P1-20-3","2_P1-200-3","2_P1-40-3","2_P1-60-3","3_P1-20-3","3_P1-200-3","3_P1-40-3","3_P1-60-3","4_P1-90-3","4_P1-20-3","4_P1-100-3","4_P1-200-3","4_P1-40-3","4_P1-60-3","5_P1-20-3","3_P1-90-3","5_P1-100-3","5_P1-200-3","5_P1-40-3","5_P1-90-3","6_P1-100-3","6_P1-20-3","6_P1-200-3","6_P1-40-3","6_P1-60-3","7_P1-20-3","7_P1-40-3","7_P1-60-3","10_P1-20-3","10_P1-40-3","7_P1-105-3","7_P1-200-3","8_P1-100-3","8_P1-115-3","8_P1-20-3","8_P1-200-3","8_P1-40-3","8_P1-60-3","9_P1-100-3","9_P1-120-3","9_P1-20-3","9_P1-200-3","9_P1-40-3","9_P1-60-3","10_P1-100-3","10_P1-120-3","10_P1-200-3","10_P1-60-3","11_P1-100-3","11_P1-20-3","11_P1-200-3","11_P1-40-3","11_P1-60-3","11_P1-70-3","12_P1-100-3","12_P1-20-3","12_P1-200-3","12_P1-40-3","12_P1-60-3","13_P1-100-3","13_P1-20-3","13_P1-200-3","13_P1-40-3","13_P1-60-3","14_P1-100-3","14_P1-20-3","14_P1-200-3","14_P1-40-3","14_P1-60-3","12_P2-100-3","12_P2-20-3","12_P2-200-3","12_P2-40-3","12_P2-60-3","15_P2-100-3","15_P2-20-3","15_P2-200-3","15_P2-40-3","15_P2-60-3","17_P2-100-3","17_P2-20-3","17_P2-200-3","17_P2-40-3","17_P2-60-3","8_P2-20-3","8_P2-200-3","8_P2-40-3","8_P2-60-3"
"15_P2-40-3",1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.91,1,1,0.99,0.97,1,1,0.99,0.99,1,0.99,0.99,0.99,1,0.97,1,1,1,1,0.98,1,1,1,1,1,0.95,1,1,0.97,1,1,0.99,1,0.98,0.97,1,1,1,1,1,0.98,1,0.92,0.98,1,0.99,0.58,0.99,0.57,0.6,0.45,-0.18,0.79,0.22,-0.07,0.73,0.51,0.9,0.72,0.59,1,0.08,0.63,-0.03,0.14,-0.69,-1,0.51,0,-1,0.51,-0.03,0.81,-0.39,-0.14,0.82,1,0.79,0.57
"15_P2-60-3",1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,0.99,0.98,1,0.99,0.89,1,0.99,0.95,1,0.98,0.99,1,1,1,1,0.82,1,0.99,0.97,1,1,0.98,1,1,0.97,1,1,1,1,1,0.8,1,1,1,1,1,1,1,0.98,0.99,1,0.99,0.76,0.99,0.71,0.74,0.66,0.07,0.67,0.16,-0.19,0.74,0.55,0.69,0.29,0.1,0.99,0.56,-0.17,0.21,0.13,-0.94,-0.98,0.13,-1,0,0.15,-0.37,0.48,-0.55,-0.59,0.76,1,0.75,0.82
"17_P2-100-3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,0.96,0.93,1,1,0.97,1,0.99,1,1,1,1,1,0.93,1,0.98,0.98,1,1,1,0.95,1,0.97,1,1,1,0.9,1,0.67,1,1,1,1,1,1,0.97,1,0.99,1,1,1,1,0.98,1,0.21,0.89,0.36,0.96,0.74,0.75,0.2,0.91,0.64,0.82,0.93,0.94,-0.03,0.93,0.86,-0.78,0.66,0.61,0.51,0.15,0,-0.87,-1,-0.99,-0.8,0.17,0.88,0.82,0.96
"17_P2-20-3",1,1,0.96,1,1,1,1,0.96,1,1,1,1,1,1,1,0.98,1,1,1,0.93,1,1,0.97,0.87,1,0.98,0.89,1,0.98,0.99,1,1,1,1,0.71,1,0.98,0.96,1,1,0.98,0.99,1,0.91,1,1,0.99,0.98,1,0.69,0.92,1,1,1,0.99,1,0.81,1,0.96,1,1,0.98,0.97,0.88,0.97,0.14,0.67,-0.19,0.74,0.15,0.27,0.28,0.34,0.57,0.81,0.92,0.77,-0.51,0.52,0.53,-0.78,0.13,0.11,-0.03,-0.37,-0.87,0,-0.99,-1,-0.94,0.21,0.83,0.61,0.68
"17_P2-200-3",1,0.99,0.85,1,1,1,1,0.94,1,1,1,0.99,1,1,1,0.96,1,0.95,1,0.88,0.94,1,0.89,0.51,0.86,0.97,0.72,1,0.93,0.98,1,1,1,0.98,0.22,1,0.96,0.83,0.99,1,0.93,0.8,1,0.82,1,1,0.98,0.88,0.99,0.06,0.79,1,0.96,1,0.98,0.97,0.76,1,0.95,1,1,0.99,0.98,0.92,1,0.35,0.98,-0.02,0.92,0.57,0.07,0.83,0.04,0.72,0.91,0.31,0.8,-0.89,0.71,0.73,-0.57,0.9,-0.13,0.81,0.48,-1,-0.99,0,0.01,-0.5,-0.68,0.27,-0.13,0.66
"17_P2-40-3",1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,0.99,0.99,0.95,0.98,1,0.95,0.93,0.99,0.98,0.97,1,0.98,0.98,1,1,1,0.99,0.61,0.99,0.99,0.98,1,1,0.93,0.97,1,0.83,1,1,0.99,0.99,0.99,0.65,0.97,0.99,1,1,1,0.99,0.94,0.97,0.97,0.99,0.98,0.57,0.96,0.38,0.63,0,0.16,0.51,0.34,0.41,0.19,-0.55,0.58,-0.18,-0.33,0.99,0.54,-0.06,0.32,0.48,-0.59,-0.55,0.26,-0.39,-0.55,-0.99,-1,0.01,0,-1,0.64,0.99,0.73,0.56
"17_P2-60-3",1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.99,0.97,1,1,0.97,1,1,1,1,1,1,1,0.88,1,1,0.99,1,1,1,1,1,0.98,1,1,1,1,1,0.92,1,1,1,1,1,1,0.99,1,0.99,1,1,0.94,0.99,0.82,0.93,0.12,0.38,0.39,0.75,0.46,0.68,-0.51,0.89,0.2,0.5,1,0.8,-0.15,0.69,0.6,-0.89,0.09,0.5,-0.14,-0.59,-0.8,-0.94,-0.5,-1,0,0.84,1,0.89,0.86
"8_P2-20-3",1,0.99,0.99,0.87,0.7,1,1,1,1,1,0.99,1,1,1,1,0.89,1,0.97,0.99,0.68,0.97,1,0.94,0.87,0.98,0.93,0.88,1,0.93,0.98,1,1,0.96,0.99,0.93,0.99,0.82,0.89,0.9,0.98,0.9,0.99,1,0.73,0.98,0.97,0.88,0.7,0.93,0.53,0.98,0.99,0.99,0.91,0.96,0.83,0.95,-0.04,0.69,0.97,1,1,0.99,1,1,0.98,0.99,0.99,1,0.99,0.96,1,0.99,1,1,0.66,-0.75,-0.24,-0.9,-0.13,0.42,0.9,0.79,0.82,0.76,0.17,0.21,-0.68,0.64,0.84,0,-0.32,-1,-1
"8_P2-200-3",1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.99,1,1,0.99,0.97,1,1,0.89,1,0.94,1,1,1,1,1,1,1,0.96,0.98,1,1,1,0.96,1,1,1,1,1,0.94,1,0.98,1,1,0.99,1,0.99,1,0.99,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.64,1,-0.05,0.99,0.97,0.79,1,0.98,1,1,0.88,0.83,0.27,0.99,1,-0.32,0,0.84,0.98
"8_P2-40-3",1,1,1,0.9,0.39,1,1,1,1,1,1,1,1,1,1,0.89,1,1,0.99,0.96,1,1,0.99,0.98,1,0.97,0.99,1,1,0.98,1,1,1,1,0.98,1,0.98,0.99,0.98,0.99,0.94,1,1,0.94,1,1,0.98,1,0.96,0.93,1,1,1,0.99,1,0.2,1,-0.61,0.92,1,1,1,1,0.99,0.99,0.99,0.99,1,1,0.99,0.99,1,1,1,1,0.98,-0.8,0.02,-0.97,-0.1,0.23,0.85,0.92,0.79,0.75,0.82,0.61,-0.13,0.73,0.89,-1,0.84,0,-1
"8_P2-60-3",1,0.98,1,0.89,-0.65,0.99,1,1,1,1,0.99,1,0.99,1,1,0.84,1,1,0.97,0.88,0.99,0.99,0.98,1,0.96,0.98,0.99,0.99,1,0.95,1,1,0.99,1,0.99,0.98,0.93,1,0.96,0.96,0.88,1,0.99,0.93,0.98,0.99,0.98,1,0.83,0.96,0.97,1,1,0.95,0.99,-0.62,1,-0.84,0.76,0.96,1,0.97,1,0.94,0.94,0.98,0.99,1,0.99,1,0.99,1,1,1,1,0.99,-1,0.49,-0.95,-0.04,0.41,0.64,0.94,0.57,0.82,0.96,0.68,0.66,0.56,0.86,-1,0.98,-1,0
