"","1_P1-100-3","1_P1-20-3","1_P1-200-3","1_P1-40-3","1_P1-60-3","2_P1-100-3","2_P1-20-3","2_P1-200-3","2_P1-40-3","2_P1-60-3","3_P1-20-3","3_P1-200-3","3_P1-40-3","3_P1-60-3","4_P1-90-3","4_P1-20-3","4_P1-100-3","4_P1-200-3","4_P1-40-3","4_P1-60-3","5_P1-20-3","3_P1-90-3","5_P1-100-3","5_P1-200-3","5_P1-40-3","5_P1-90-3","6_P1-100-3","6_P1-20-3","6_P1-200-3","6_P1-40-3","6_P1-60-3","7_P1-20-3","7_P1-40-3","7_P1-60-3","10_P1-20-3","10_P1-40-3","7_P1-105-3","7_P1-200-3","8_P1-100-3","8_P1-115-3","8_P1-20-3","8_P1-200-3","8_P1-40-3","8_P1-60-3","9_P1-100-3","9_P1-120-3","9_P1-20-3","9_P1-200-3","9_P1-40-3","9_P1-60-3","10_P1-100-3","10_P1-120-3","10_P1-200-3","10_P1-60-3","11_P1-100-3","11_P1-20-3","11_P1-200-3","11_P1-40-3","11_P1-60-3","11_P1-70-3","12_P1-100-3","12_P1-20-3","12_P1-200-3","12_P1-40-3","12_P1-60-3","13_P1-100-3","13_P1-20-3","13_P1-200-3","13_P1-40-3","13_P1-60-3","14_P1-100-3","14_P1-20-3","14_P1-200-3","14_P1-40-3","14_P1-60-3","12_P2-100-3","12_P2-20-3","12_P2-200-3","12_P2-40-3","12_P2-60-3","15_P2-100-3","15_P2-20-3","15_P2-200-3","15_P2-40-3","15_P2-60-3","17_P2-100-3","17_P2-20-3","17_P2-200-3","17_P2-40-3","17_P2-60-3","8_P2-20-3","8_P2-200-3","8_P2-40-3","8_P2-60-3"
"10_P1-20-3",1,0.02,0.54,-0.74,0.34,0.93,-0.09,0.53,-0.57,0.97,-0.75,0.99,-0.34,0.61,1,0.13,1,0.92,0.82,0.84,-0.48,0.94,0.87,-0.15,-0.65,0.5,0.21,0.92,0.75,0.61,0.98,-0.66,-0.72,-0.74,0,-0.66,0.7,-0.47,-0.82,0.8,-0.98,0.84,-0.65,-0.9,-0.67,-0.37,-0.9,0.78,-0.91,-0.74,-0.05,0.81,0.95,-0.64,0.88,-0.2,0.53,0.9,0.7,0.95,0.99,0.95,0.92,0.74,0.93,0.16,0.89,0.24,0.91,0.52,0.34,0.84,-0.26,0.75,0.84,1,0.99,-0.59,0.89,0.99,0.28,0.99,0.08,0.98,0.82,0.93,0.71,0.22,0.61,0.88,0.93,1,0.98,0.99
"10_P1-40-3",1,0.98,0.99,-0.84,0.57,0.97,-0.96,1,-1,0.69,-1,1,-0.45,-0.42,1,-0.27,1,1,0.73,0.61,0.25,0.99,0.96,0.99,0.61,0.14,0.97,0.86,0.92,0.49,0.99,-1,-1,-0.94,-0.66,0,0.85,0.21,-1,0.76,-1,1,-1,-1,-0.58,-0.31,-1,0.65,-1,0.33,0.89,0.98,1,-1,0.86,0.98,0.78,0.97,0.82,0.99,1,1,0.99,1,1,0.96,0.99,0.92,1,1,0.93,1,0.99,1,1,1,1,0.99,0.97,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,0.98
"7_P1-105-3",0.53,1,0.76,0.99,0.92,-0.02,1,0.88,0.98,1,0.93,0.76,0.83,0.77,-0.34,0.57,-0.22,0.54,0.92,-0.34,0.64,-0.85,-0.79,0.47,0.6,0.22,-0.39,0.89,-0.08,0.19,-0.3,0.19,0.38,0.05,0.7,0.85,0,-0.11,0.25,-0.41,0.44,0.32,0.74,-0.08,-0.52,-0.85,0.6,0.24,0.61,-0.52,-0.08,-0.48,0.59,0.64,0.43,0.52,0.79,0.77,-0.34,0.08,0.99,0.97,0.95,0.93,0.97,0.86,0.94,0.92,0.98,0.98,0.62,0.98,0.84,1,0.98,1,0.95,0.65,0.92,0.92,0.81,0.99,0.97,1,0.99,0.98,0.98,0.96,0.99,1,0.82,0.96,0.98,0.93
"7_P1-200-3",0.97,0.84,-0.06,0.87,0.99,0.93,0.96,0.79,0.8,1,0.64,0.41,0.7,0.89,0.97,0.77,0.96,-0.19,0.99,0.58,-0.27,0.6,0.68,-0.42,-0.29,0.46,-0.14,0.95,-0.79,0.95,0.92,-0.25,-0.22,-0.51,-0.47,0.21,-0.11,0,-0.34,0.86,-0.44,-0.89,-0.23,-0.82,0.17,-0.2,-0.11,-0.29,-0.26,-0.97,-0.22,0.81,0.52,0.08,0.66,0.14,0.41,0.9,0.38,0.91,0.97,0.91,0.95,0.78,0.96,0.87,0.83,0.5,0.96,0.72,-0.09,0.94,-0.29,0.87,0.76,1,0.99,-0.22,0.98,1,0.62,1,0.75,1,0.97,0.98,0.96,0.83,0.98,0.99,0.89,0.98,0.99,1
"8_P1-100-3",1,0.35,0.98,-0.38,0.21,0.69,-0.34,1,-0.73,0.67,-0.94,0.99,-0.79,-0.92,0.86,-0.34,0.95,0.96,0.56,0.04,-0.89,0.73,0.4,0.88,-0.98,-0.49,0.57,0.53,0.71,-0.11,0.59,-1,-1,-1,-0.82,-1,0.25,-0.34,0,-0.32,-1,0.92,-1,-0.98,-0.92,-0.93,-1,0.68,-0.99,-0.58,-0.05,0.77,0.99,-0.99,0.8,-0.12,0.92,0.75,0.41,0.89,1,0.96,0.99,0.89,0.96,0.91,0.93,0.95,0.99,0.98,0.65,0.98,0.89,0.99,0.98,1,0.98,0.94,0.96,0.99,0.99,1,1,1,1,1,1,0.99,1,1,0.9,1,0.98,0.96
"8_P1-115-3",1,1,0.99,0.95,0.71,0.34,0.97,1,0.89,0.96,0.81,1,0.97,0.9,0.29,0,0.47,1,0.81,-0.3,0.75,0.2,0.23,1,0.64,-0.08,0.61,0.45,0.98,-0.44,0.45,0.72,0.48,0.79,0.8,0.76,-0.41,0.86,-0.32,0,0.08,0.99,0.75,0.07,-0.04,0.46,0.41,0.95,0.38,0.5,0.72,0.46,1,0.71,0.78,0.6,0.98,0.78,0.19,0.61,1,0.99,0.99,0.98,0.99,0.98,1,1,1,1,0.97,1,0.99,1,1,1,0.99,0.98,0.97,0.97,0.98,1,1,1,1,1,1,1,1,1,0.98,1,0.99,0.96
"8_P1-20-3",1,-0.37,0.98,-0.73,-0.13,0.69,-0.79,1,-0.93,0.38,-1,0.97,-0.94,-0.92,0.92,-0.65,0.98,0.95,0.14,0.36,-0.98,0.75,0.56,0.84,-1,-0.39,0.6,0.42,0.71,-0.2,0.75,-1,-1,-1,-0.98,-1,0.44,-0.44,-1,0.08,0,0.9,-1,-1,-0.97,-0.98,-1,0.7,-1,-0.71,-0.23,0.76,0.98,-1,0.84,-0.24,0.89,0.65,0.62,0.92,1,0.94,0.99,0.83,0.87,0.62,0.91,0.9,0.95,0.96,0.56,0.95,0.76,0.96,0.94,1,0.98,0.82,0.86,0.99,0.91,0.97,0.98,0.95,0.98,1,0.98,0.93,0.93,1,0.9,1,0.94,0.88
"8_P1-200-3",0.98,1,0.35,1,1,0.98,1,0.81,1,1,1,-0.61,1,1,1,0.94,1,-0.52,1,0.54,0.99,0.86,0.32,0.21,1,0.87,0.3,0.99,-1,0.99,1,0.98,0.98,0.98,0.84,1,0.32,-0.89,0.92,0.99,0.9,0,1,0.43,0.98,0.8,0.96,-0.97,0.98,-0.95,0.36,0.93,-0.91,0.99,0.57,1,-0.99,1,0.46,0.97,0.99,1,0.86,0.99,1,0.74,0.98,0.49,1,0.96,0.59,1,0.89,1,1,0.99,1,0.55,1,1,0.92,1,0.95,1,1,0.95,0.99,0.8,0.97,1,0.99,0.96,1,1
"8_P1-40-3",1,0.99,0.89,-0.67,0.66,0.95,-0.95,1,-0.99,0.82,-1,1,-0.67,-0.31,1,-0.84,1,1,0.33,0.26,-0.41,0.97,0.9,0.96,0.09,-0.44,0.86,0.45,0.79,-0.07,0.95,-1,-1,-1,-0.65,-1,0.74,-0.23,-1,0.75,-1,1,0,-1,-0.62,-0.43,-1,0.08,-1,0.3,0.81,0.98,0.99,-1,0.77,0.99,0.46,0.98,0.77,0.99,1,1,0.97,1,1,0.99,0.99,0.83,1,0.99,0.87,1,0.97,1,1,1,1,0.88,0.98,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,0.99
"8_P1-60-3",0.99,0.03,0.64,-0.51,0.48,0.56,-0.11,0.97,-0.71,0.89,-0.83,0.87,-0.37,-0.13,0.91,-0.4,0.97,0.54,0.33,-0.22,-0.89,0.7,0.5,0.65,-0.94,-0.34,0.18,0.37,0.16,-0.11,0.6,-1,-1,-1,-0.9,-1,-0.08,-0.82,-0.98,0.07,-1,0.43,-1,0,-0.85,-0.91,-1,-0.12,-0.98,-0.91,-0.51,0.32,0.73,-0.95,0.24,-0.33,0.07,0.61,0.07,0.64,0.97,0.7,0.78,0.48,0.85,0.47,0.65,0.39,0.8,0.63,-0.05,0.85,0.38,0.86,0.72,1,0.95,0.61,0.89,0.93,0.85,0.97,0.9,0.97,0.97,0.97,0.91,0.82,0.83,0.98,0.73,1,0.94,0.93
