"","1_P1-100-8","1_P1-20-8","1_P1-200-8","1_P1-40-8","1_P1-60-8","2_P1-100-8","2_P1-20-8","2_P1-200-8","2_P1-40-8","2_P1-60-8","3_P1-20-8","3_P1-200-8","3_P1-40-8","3_P1-60-8","4_P1-90-8","4_P1-20-8","4_P1-100-8","4_P1-200-8","4_P1-40-8","4_P1-60-8","3_P1-90-8","5_P1-100-8","5_P1-20-8","5_P1-200-8","5_P1-40-8","5_P1-90-8","6_P1-100-8","6_P1-20-8","6_P1-200-8","6_P1-40-8","6_P1-60-8","7_P1-20-8","7_P1-40-8","10_P1-20-8","7_P1-105-8","7_P1-200-8","7_P1-60-8","8_P1-100-8","8_P1-20-8","8_P1-200-8","8_P1-40-8","8_P1-60-8","9_P1-100-8","9_P1-120-8","9_P1-20-8","9_P1-200-8","9_P1-40-8","9_P1-60-8","10_P1-100-8","10_P1-120-8","10_P1-200-8","10_P1-40-8","10_P1-60-8","11_P1-100-8","11_P1-20-8","11_P1-200-8","11_P1-40-8","11_P1-60-8","11_P1-70-8","12_P1-100-8","12_P1-20-8","12_P1-200-8","12_P1-40-8","12_P1-60-8","13_P1-100-8","13_P1-20-8","13_P1-200-8","13_P1-40-8","13_P1-60-8","14_P1-100-8","14_P1-20-8","14_P1-200-8","14_P1-40-8","14_P1-60-8","12_P2-100-8","12_P2-20-8","12_P2-200-8","12_P2-40-8","12_P2-60-8","15_P2-100-8","15_P2-20-8","15_P2-200-8","15_P2-40-8","15_P2-60-8","17_P2-100-8","17_P2-20-8","17_P2-200-8","17_P2-40-8","17_P2-60-8","8_P2-100-8","8_P2-20-8","8_P2-200-8","8_P2-40-8","8_P2-60-8"
"1_P1-100-8",0,1,0.49,0.95,1,-0.02,1,-0.32,1,0.89,1,0.96,1,1,0.92,1,0.66,0.99,1,0.92,0.98,0.83,1,0.99,1,1,0.95,0.57,-0.35,1,0.71,1,1,1,0.56,0.88,1,0.99,1,0.82,0.99,1,1,0.92,1,0.98,1,1,0.85,0.41,0.94,1,1,0.48,1,0.98,1,0.96,1,0.99,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,1,1,1,1,1,1,1,1,1,0.86,1,1,1,1
"1_P1-20-8",1,0,0.93,-1,1,1,0.02,1,0.72,0.37,-0.9,1,0.18,0.92,1,1,1,1,0.78,0.87,1,1,1,1,0.82,0.96,1,0.16,0.86,1,1,0.33,0.7,0.34,1,1,1,0.59,-0.53,1,-0.9,0.31,1,1,0.66,1,0.87,0.77,0.88,1,1,-0.7,-0.06,1,0.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.48,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.91,0.94
"1_P1-200-8",0.49,0.93,0,0.85,1,0.75,0.75,-0.25,0.57,0.74,0.98,-0.65,0.96,1,0.86,1,0.82,-0.3,0.91,0.98,0.95,0.81,0.89,-0.77,0.88,0.87,-0.94,0.75,-0.42,0.92,1,0.65,0.77,0.94,0.77,-0.96,0.97,0.75,0.68,-0.19,0.52,0.57,0.99,0.34,0.65,-0.33,0.99,0.87,0.55,0.95,0.04,0.94,0.99,-0.19,0.8,0.86,0.99,0.99,0.99,0.95,0.94,0.9,0.99,1,0.78,0.83,0.79,0.99,0.96,-0.17,0.99,-0.89,0.36,0.75,0.93,0.99,0.27,0.96,0.99,0.99,1,0.95,0.98,0.99,0.82,1,0.83,1,0.88,1,0.88,0.41,0.98,0.97
"1_P1-40-8",0.95,-1,0.85,0,-0.08,1,-0.22,1,-0.88,0.14,-0.35,1,-0.11,-0.03,1,0.94,1,1,0.9,0.97,1,1,0.44,1,0.86,0.87,1,0.15,1,1,1,0.36,0.37,-0.62,0.99,0.98,0.15,0.13,-0.14,0.94,-0.6,0.18,0.86,0.94,-0.23,1,-0.43,-0.08,0.78,1,1,-0.5,-0.58,1,0.78,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.9,0.97,1,1,1,1,1,1,1,1,1,1,1,0.87,1,0.88,0.86
"1_P1-60-8",1,1,1,-0.08,0,0.52,0.99,1,1,0.84,0.89,1,0.99,0.86,0.96,1,0.98,1,0.99,0.88,1,1,1,1,1,0.97,1,1,1,1,0.99,0.99,1,0.93,0.98,1,1,0.9,0.95,1,0.87,0.99,1,1,1,1,0.98,0.98,0.88,1,1,0.89,0.66,1,0.5,1,0.94,0.91,1,1,0.95,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.87,0.95,1,1,1,1,1,1,1,1,1,1,0.95,1,1,0.13,0.24
"2_P1-100-8",-0.02,1,0.75,1,0.52,0,1,0.93,0.99,0.77,1,0.97,0.99,0.95,-0.26,0.99,-0.1,1,0.88,0.26,-0.18,-0.34,0.98,1,0.88,0.69,0.75,0.9,0.99,0.67,-0.2,0.95,0.98,1,-0.36,0.94,0.99,0.72,0.95,0.89,0.8,0.78,0.37,0.08,0.98,1,1,0.98,0.25,-0.45,1,0.99,1,0.93,0.95,1,0.94,0.85,0.8,0.87,0.99,0.97,0.98,0.94,0.99,1,0.96,1,1,1,1,0.88,1,0.99,1,0.99,1,0.97,0.77,1,1,1,1,1,1,1,1,1,1,0.46,1,1,1,0.94
"2_P1-20-8",1,0.02,0.75,-0.22,0.99,1,0,1,-1,-0.16,-0.85,1,-0.17,0.35,0.99,0.85,0.97,1,0.37,0.89,1,1,0.45,1,0.03,0.81,1,0.72,1,0.95,0.97,0.03,0.12,-0.31,0.99,0.97,0.51,-0.05,-0.47,0.98,-0.78,-0.44,0.96,0.93,-0.14,1,0.3,0.13,0.6,0.99,1,-0.21,-0.11,1,0.95,1,1,0.99,1,1,0.96,1,0.99,1,1,1,1,1,1,1,1,0.96,1,0.99,1,0.98,1,0.89,0.99,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.99,0.99
"2_P1-200-8",-0.32,1,-0.25,1,1,0.93,1,0,1,0.89,1,0.47,1,1,0.99,1,0.99,0.38,1,0.99,1,0.98,1,0.65,1,1,0.79,0.94,-0.27,1,0.98,1,1,1,0.97,0.48,1,0.99,1,0.71,0.99,1,1,1,1,0.56,1,1,1,1,0.26,1,1,0.73,1,0.2,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1
"2_P1-40-8",1,0.72,0.57,-0.88,1,0.99,-1,1,0,-0.58,-0.99,1,-0.67,0.6,0.96,0.97,0.99,1,-0.18,0.67,1,1,0.84,1,-0.09,0.62,1,-0.54,0.97,0.85,0.92,-0.59,-0.01,0.46,0.99,0.9,0.97,-0.39,-0.87,0.99,-0.96,-0.34,0.93,0.97,0.39,1,0.61,0.29,0.67,0.99,1,-0.72,0.22,1,0.98,1,1,0.99,1,1,0.98,1,0.98,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,0.91,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2_P1-60-8",0.89,0.37,0.74,0.14,0.84,0.77,-0.16,0.89,-0.58,0,0.12,0.86,-0.66,-0.93,0.92,0.98,0.86,1,0.85,0.36,0.98,0.99,0.9,1,0.82,0.57,1,0.82,0.96,0.89,0.8,0.28,0.3,0.56,0.92,0.9,-0.38,-0.54,-0.26,0.66,-0.48,0.28,0.53,0.91,0.16,0.93,-0.45,-0.2,0.23,0.88,0.97,0.36,0.25,1,0.96,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.97,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,0.99
"3_P1-20-8",1,-0.9,0.98,-0.35,0.89,1,-0.85,1,-0.99,0.12,0,1,-1,-0.96,0.99,-0.23,0.99,1,-0.1,0.87,1,1,-0.88,1,-0.57,0.69,1,0.62,1,0.88,0.97,-0.84,-0.97,-1,0.99,0.99,-0.99,-0.62,-0.98,0.96,-0.99,-0.69,0.61,0.88,-0.99,1,-1,-0.93,0.81,0.99,1,-0.98,-0.93,1,0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.94,0.99,1,1,1,1,1,1,1,1,1,1,1,0.84,1,0.94,0.99
"3_P1-200-8",0.96,1,-0.65,1,1,0.97,1,0.47,1,0.86,1,0,0.98,0.94,0.98,1,0.49,-0.54,0.98,1,1,0.97,1,-0.34,0.99,0.98,0.54,0.97,-0.39,0.99,1,0.97,1,1,0.97,-0.46,1,0.79,0.94,-0.08,0.9,0.89,1,0.94,0.89,0.24,0.99,1,0.95,0.99,0.33,1,1,0.82,0.99,0.83,1,1,1,1,0.99,1,1,1,0.98,1,0.95,1,1,0.86,1,0.42,0.96,0.91,0.96,1,0.73,0.99,0.99,0.97,1,0.98,1,0.97,0.7,1,0.61,1,0.99,1,0.94,0.5,1,0.99
"3_P1-40-8",1,0.18,0.96,-0.11,0.99,0.99,-0.17,1,-0.67,-0.66,-1,0.98,0,-0.84,0.99,0.96,0.98,1,0.31,0.68,1,1,0.74,1,0.25,0.79,1,0.8,0.99,0.93,0.93,-0.78,-0.28,-0.47,0.99,0.96,-0.75,-0.68,-0.96,0.86,-0.99,-0.11,0.87,0.94,-0.27,1,-0.94,-0.49,0.78,0.99,1,-0.78,-0.15,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3_P1-60-8",1,0.92,1,-0.03,0.86,0.95,0.35,1,0.6,-0.93,-0.96,0.94,-0.84,0,0.88,1,0.71,1,0.85,0.41,0.99,0.99,0.98,1,0.64,0.33,1,0.88,0.99,0.82,0.78,-0.31,0.41,-0.07,0.95,0.95,-0.83,-0.75,-0.59,0.95,-0.73,0.29,0.86,0.96,0.77,1,-0.78,-0.09,0.79,0.97,1,-0.28,-0.51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4_P1-90-8",0.92,1,0.86,1,0.96,-0.26,0.99,0.99,0.96,0.92,0.99,0.98,0.99,0.88,0,0.99,-0.99,1,0.87,-0.86,-0.57,-0.67,0.99,1,0.81,0.57,0.88,0.43,0.96,0.54,-0.71,0.98,0.98,1,-0.59,0.82,0.92,0.62,0.98,0.83,0.83,0.85,0.2,0.6,1,1,0.99,0.97,0.54,0.34,1,1,0.99,0.98,1,1,0.99,0.94,0.96,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1
"4_P1-20-8",1,1,1,0.94,1,0.99,0.85,1,0.97,0.98,-0.23,1,0.96,1,0.99,0,0.98,1,-1,-0.58,1,1,-0.91,1,-1,-0.91,1,0,1,-0.36,0.45,0.09,0.52,0.88,0.98,0.99,0.65,0.42,-0.12,0.91,-0.06,-0.29,1,0.99,0.95,1,0.94,1,0.89,0.98,1,0.81,0.99,1,0.99,1,1,0.99,1,1,0.98,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,0.96,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.99,1
"4_P1-100-8",0.66,1,0.82,1,0.98,-0.1,0.97,0.99,0.99,0.86,0.99,0.49,0.98,0.71,-0.99,0.98,0,0.99,0.87,-0.26,-0.44,-0.76,0.96,1,0.88,0.74,0.45,0.82,0.93,0.3,-0.55,0.95,0.95,0.99,-0.79,0.59,0.93,0.77,0.93,0.55,0.86,0.59,0.18,0.17,0.95,0.98,1,0.95,0.4,0.04,0.99,0.99,1,0.99,0.98,1,0.96,0.85,0.94,1,0.98,0.99,0.99,1,0.99,1,0.99,1,1,0.99,1,0.9,0.99,0.98,1,1,1,0.97,1,1,1,1,1,1,0.93,1,0.97,0.99,0.99,0.59,0.97,0.99,0.99,0.99
"4_P1-200-8",0.99,1,-0.3,1,1,1,1,0.38,1,1,1,-0.54,1,1,1,1,0.99,0,1,1,1,0.99,1,-0.98,1,1,0.02,1,-0.46,1,1,0.95,1,1,0.96,-0.44,1,0.94,0.99,-0.72,0.98,0.16,1,0.8,0.89,-0.5,1,1,0.97,0.99,-0.2,1,1,0.9,0.99,0.75,1,1,1,1,1,1,1,1,1,1,0.99,1,1,0.93,1,0.52,0.99,1,1,1,0.92,1,1,1,1,1,1,1,0.98,1,0.98,1,1,1,1,0.57,1,1
"4_P1-40-8",1,0.78,0.91,0.9,0.99,0.88,0.37,1,-0.18,0.85,-0.1,0.98,0.31,0.85,0.87,-1,0.87,1,0,-0.43,0.98,0.94,-0.99,1,-0.92,-0.44,1,-0.67,0.99,-0.62,0.1,-0.02,-0.33,0.17,0.89,0.95,-0.69,-0.05,-0.16,0.74,-0.28,-0.24,0.99,0.95,0.28,1,0.53,0.83,0.88,0.92,1,0.34,0.79,1,0.86,1,0.95,0.9,1,0.94,0.9,1,0.92,0.91,1,0.99,1,0.99,1,1,1,0.97,1,0.99,1,0.98,1,0.79,0.91,1,0.98,1,0.98,1,0.99,1,1,0.99,1,0.97,0.92,1,0.94,0.92
"4_P1-60-8",0.92,0.87,0.98,0.97,0.88,0.26,0.89,0.99,0.67,0.36,0.87,1,0.68,0.41,-0.86,-0.58,-0.26,1,-0.43,0,0.3,-0.17,-0.07,1,-0.4,-0.92,0.9,-0.66,0.99,-1,-0.83,0.49,0.18,0.75,-0.13,0.99,-0.44,-0.16,0.67,0.88,0.4,0.46,0.43,0.63,0.79,1,0.85,0.46,0.27,0.35,1,0.77,0.78,0.99,0.81,1,0.6,0.42,0.83,0.94,0.84,0.99,0.82,0.89,1,1,1,0.98,1,1,1,0.96,1,1,1,0.92,1,0.89,0.85,1,0.87,1,0.98,1,1,1,1,1,1,0.25,0.94,1,0.87,0.69
"3_P1-90-8",0.98,1,0.95,1,1,-0.18,1,1,1,0.98,1,1,1,0.99,-0.57,1,-0.44,1,0.98,0.3,0,-0.9,1,1,0.99,0.91,0.84,0.98,1,0.91,-0.75,1,1,1,-0.71,0.96,1,0.98,1,0.97,0.98,0.95,0.16,0.95,1,1,1,1,0.73,0.1,1,1,1,0.99,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85,1,1,1,1
"5_P1-100-8",0.83,1,0.81,1,1,-0.34,1,0.98,1,0.99,1,0.97,1,0.99,-0.67,1,-0.76,0.99,0.94,-0.17,-0.9,0,0.97,0.99,0.95,0.69,0.17,0.94,0.94,0.56,-0.86,0.94,0.98,0.99,-0.86,0.69,0.97,0.81,0.95,0.5,0.86,0.62,-0.21,0.38,0.96,0.99,1,0.98,0.69,0.3,0.99,0.99,1,0.94,0.99,1,1,0.89,0.96,1,0.99,0.99,0.99,1,1,1,0.98,1,1,1,1,0.92,1,0.99,1,1,1,1,0.99,1,1,1,1,1,0.98,1,0.99,1,1,0.8,1,1,1,1
"5_P1-20-8",1,1,0.89,0.44,1,0.98,0.45,1,0.84,0.9,-0.88,1,0.74,0.98,0.99,-0.91,0.96,1,-0.99,-0.07,1,0.97,0,1,-1,-0.85,0.98,0.12,0.99,-0.05,0.44,-0.73,-0.65,0.17,0.93,0.78,-0.61,-0.33,-0.89,0.42,-0.88,-0.91,0.99,0.63,0.49,0.93,0.49,0.9,0.31,0.96,0.98,0.21,0.9,0.99,0.94,1,1,0.99,1,1,0.99,1,1,1,0.94,1,0.99,1,1,1,1,0.91,1,0.99,1,1,1,0.91,0.99,1,1,1,1,1,0.99,1,0.99,1,1,1,0.98,0.97,0.98,1
"5_P1-200-8",0.99,1,-0.77,1,1,1,1,0.65,1,1,1,-0.34,1,1,1,1,1,-0.98,1,1,1,0.99,1,0,1,1,-0.54,1,-0.47,1,1,1,1,1,0.99,-1,1,0.99,1,-0.66,1,0.77,1,0.93,1,0.05,1,1,0.99,1,-0.1,1,1,0.63,1,0.22,1,1,1,1,1,0.99,1,1,0.98,1,1,1,1,1,1,-0.29,1,1,1,1,0.76,1,1,1,1,1,1,1,0.98,1,0.96,1,1,1,1,-0.24,1,1
"5_P1-40-8",1,0.82,0.88,0.86,1,0.88,0.03,1,-0.09,0.82,-0.57,0.99,0.25,0.64,0.81,-1,0.88,1,-0.92,-0.4,0.99,0.95,-1,1,0,-0.88,0.98,-0.16,0.99,-0.49,0.15,-0.47,-0.77,-0.33,0.89,0.87,-0.86,-0.3,-0.51,0.74,-0.69,-0.72,0.96,0.75,0.09,1,0.01,0.42,0.38,0.81,1,0.25,0.38,0.99,0.78,1,0.97,0.95,1,1,0.97,1,0.99,1,1,1,0.99,1,1,1,1,0.85,1,0.98,1,0.94,1,0.73,0.96,1,0.97,1,1,1,0.96,1,0.99,0.99,1,0.96,0.83,1,0.8,0.92
"5_P1-90-8",1,0.96,0.87,0.87,0.97,0.69,0.81,1,0.62,0.57,0.69,0.98,0.79,0.33,0.57,-0.91,0.74,1,-0.44,-0.92,0.91,0.69,-0.85,1,-0.88,0,0.94,-0.39,0.95,-0.9,-0.5,-0.14,-0.65,0.41,0.66,0.77,-0.98,-0.41,0.25,0.42,-0.17,-0.18,0.77,0.68,0.5,0.99,0.54,0.08,0.2,0.43,1,0.54,0.46,0.97,0.79,1,0.93,0.87,0.98,0.97,0.95,0.99,0.96,0.98,0.99,1,0.98,1,1,0.99,1,0.94,0.99,0.98,1,0.94,1,0.83,0.81,1,0.95,1,0.99,1,0.92,1,0.98,0.99,1,0.86,0.91,1,0.92,0.86
"6_P1-100-8",0.95,1,-0.94,1,1,0.75,1,0.79,1,1,1,0.54,1,1,0.88,1,0.45,0.02,1,0.9,0.84,0.17,0.98,-0.54,0.98,0.94,0,1,0.48,0.95,0.56,0.89,0.98,0.99,0.09,-0.93,0.98,0.9,0.87,-0.54,0.88,0.21,0.9,0.07,0.82,0.51,1,0.98,0.2,0.55,0.7,0.99,1,0.31,0.96,0.76,0.99,0.99,0.99,1,1,0.94,1,1,0.95,1,0.91,1,1,0.69,1,-0.92,0.97,0.98,0.98,1,0.74,0.99,1,1,1,1,1,1,0.88,1,0.82,1,1,0.97,0.97,0.82,1,1
"6_P1-20-8",0.57,0.16,0.75,0.15,1,0.9,0.72,0.94,-0.54,0.82,0.62,0.97,0.8,0.88,0.43,0,0.82,1,-0.67,-0.66,0.98,0.94,0.12,1,-0.16,-0.39,1,0,0.77,-0.99,-0.57,0.23,0.29,0.84,0.89,0.69,-0.66,0.26,0.49,0.64,-0.13,0.18,0.98,0.98,0.76,0.92,0.84,0.95,0.85,0.9,0.98,0.88,0.94,0.92,0.96,1,0.95,0.79,0.99,0.93,0.89,1,0.86,0.92,1,1,1,1,1,1,1,0.99,1,0.99,1,0.97,1,0.89,0.85,1,0.96,1,1,1,1,1,1,1,1,0.9,0.99,1,0.98,0.97
"6_P1-200-8",-0.35,0.86,-0.42,1,1,0.99,1,-0.27,0.97,0.96,1,-0.39,0.99,0.99,0.96,1,0.93,-0.46,0.99,0.99,1,0.94,0.99,-0.47,0.99,0.95,0.48,0.77,0,0.98,0.97,0.95,0.99,1,0.81,-0.89,0.93,0.74,0.87,-0.72,0.82,0.58,1,0.68,0.91,-0.61,0.91,1,0.86,0.98,-0.6,0.99,1,0.1,0.97,0.19,1,1,1,0.99,0.99,0.97,1,1,0.71,1,0.63,1,1,0.91,1,0.48,0.96,0.94,0.94,1,0.52,0.97,0.99,0.99,1,0.99,1,1,0.8,1,0.56,1,0.99,1,0.99,-0.05,1,1
"6_P1-40-8",1,1,0.92,1,1,0.67,0.95,1,0.85,0.89,0.88,0.99,0.93,0.82,0.54,-0.36,0.3,1,-0.62,-1,0.91,0.56,-0.05,1,-0.49,-0.9,0.95,-0.99,0.98,0,-1,0.26,0.29,0.9,0.26,0.76,-0.56,0.06,0.53,0.39,0.28,0.4,0.97,0.74,0.72,0.99,0.87,0.93,0.79,0.71,1,0.92,0.96,0.95,0.96,1,0.98,0.87,0.96,0.99,0.98,1,0.97,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96,0.9,1,1,1,1,1,0.99,1,1,1,1,0.91,1,1,1,0.99
"6_P1-60-8",0.71,1,1,1,0.99,-0.2,0.97,0.98,0.92,0.8,0.97,1,0.93,0.78,-0.71,0.45,-0.55,1,0.1,-0.83,-0.75,-0.86,0.44,1,0.15,-0.5,0.56,-0.57,0.97,-1,0,0.56,0.58,0.95,-0.77,0.92,0.67,0.27,0.82,0.62,0.52,0.57,0.18,0.64,0.91,1,0.99,0.92,0.84,0.33,1,0.94,0.96,0.99,0.94,1,0.91,0.59,0.79,0.94,0.98,0.99,0.97,0.96,1,1,1,1,1,1,1,0.99,1,1,1,0.98,1,0.94,0.87,1,0.98,1,1,1,0.99,1,1,1,1,0.49,0.98,1,0.98,0.94
"7_P1-20-8",1,0.33,0.65,0.36,0.99,0.95,0.03,1,-0.59,0.28,-0.84,0.97,-0.78,-0.31,0.98,0.09,0.95,0.95,-0.02,0.49,1,0.94,-0.73,1,-0.47,-0.14,0.89,0.23,0.95,0.26,0.56,0,-1,-1,0.77,0.44,-1,-0.87,-1,-0.06,-0.97,-1,0.32,0.36,-0.98,0.96,-0.99,-0.87,-0.12,0.92,0.99,-0.97,-0.69,0.93,0.74,1,0.95,0.99,1,1,0.99,0.99,1,1,0.99,1,0.98,1,1,0.97,1,0.85,1,0.99,1,0.99,1,0.83,0.98,1,1,1,1,1,0.99,1,0.99,1,1,1,0.95,1,0.97,0.97
"7_P1-40-8",1,0.7,0.77,0.37,1,0.98,0.12,1,-0.01,0.3,-0.97,1,-0.28,0.41,0.98,0.52,0.95,1,-0.33,0.18,1,0.98,-0.65,1,-0.77,-0.65,0.98,0.29,0.99,0.29,0.58,-1,0,-0.87,0.93,0.74,-1,-0.9,-1,0.36,-1,-0.92,0.68,0.47,-0.61,0.93,-0.7,-0.52,0.02,0.94,0.99,-0.8,0.04,0.99,0.95,1,1,1,1,1,1,1,1,1,0.96,1,1,1,1,1,1,0.94,1,1,1,1,1,0.86,1,1,1,1,1,1,0.98,1,0.99,1,1,1,0.95,0.99,0.98,0.99
"10_P1-20-8",1,0.34,0.94,-0.62,0.93,1,-0.31,1,0.46,0.56,-1,1,-0.47,-0.07,1,0.88,0.99,1,0.17,0.75,1,0.99,0.17,1,-0.33,0.41,0.99,0.84,1,0.9,0.95,-1,-0.87,0,0.96,0.86,-0.97,-0.61,-1,0.38,-1,-0.97,0.62,0.54,-0.94,1,-1,-0.51,-0.02,0.97,1,-1,-1,0.99,0.42,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,0.99,1,1,1,0.97,1,0.47,0.99,1,1,1,1,1,0.99,1,0.99,1,1,1,0.89,1,0.94,0.94
"7_P1-105-8",0.56,1,0.77,0.99,0.98,-0.36,0.99,0.97,0.99,0.92,0.99,0.97,0.99,0.95,-0.59,0.98,-0.79,0.96,0.89,-0.13,-0.71,-0.86,0.93,0.99,0.89,0.66,0.09,0.89,0.81,0.26,-0.77,0.77,0.93,0.96,0,0.38,0.86,0.36,0.72,-0.24,0.69,0.08,-0.61,-0.04,0.79,0.88,0.97,0.88,-0.2,-0.43,0.95,0.93,0.97,0.68,0.75,0.94,0.84,0.42,0.2,0.96,0.99,0.88,0.98,0.99,0.95,1,0.96,1,1,0.96,1,0.97,1,1,0.99,1,1,0.93,0.94,1,1,1,1,1,0.96,1,0.97,1,1,-0.29,0.98,0.98,0.99,0.95
"7_P1-200-8",0.88,1,-0.96,0.98,1,0.94,0.97,0.48,0.9,0.9,0.99,-0.46,0.96,0.95,0.82,0.99,0.59,-0.44,0.95,0.99,0.96,0.69,0.78,-1,0.87,0.77,-0.93,0.69,-0.89,0.76,0.92,0.44,0.74,0.86,0.38,0,0.81,0.44,0.62,-0.85,0.37,-0.16,0.87,0.2,0.35,-0.32,0.8,0.74,0.3,0.76,-0.2,0.85,0.92,-0.51,0.55,0.32,0.89,0.95,0.92,0.9,0.92,0.84,0.96,0.99,0.73,0.93,0.62,1,0.98,0.01,0.98,-0.91,0.6,0.8,0.92,0.99,-0.26,0.91,0.98,0.95,1,0.9,0.99,0.99,0.57,1,0.45,0.97,0.92,0.99,0.82,0.31,0.98,0.96
"7_P1-60-8",1,1,0.97,0.15,1,0.99,0.51,1,0.97,-0.38,-0.99,1,-0.75,-0.83,0.92,0.65,0.93,1,-0.69,-0.44,1,0.97,-0.61,1,-0.86,-0.98,0.98,-0.66,0.93,-0.56,0.67,-1,-1,-0.97,0.86,0.81,0,-1,-1,-0.9,-1,-1,0.31,-0.55,-0.92,-0.4,-0.81,-0.56,-0.06,0.92,0.21,-0.98,-0.48,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"8_P1-100-8",0.99,0.59,0.75,0.13,0.9,0.72,-0.05,0.99,-0.39,-0.54,-0.62,0.79,-0.68,-0.75,0.62,0.42,0.77,0.94,-0.05,-0.16,0.98,0.81,-0.33,0.99,-0.3,-0.41,0.9,0.26,0.74,0.06,0.27,-0.87,-0.9,-0.61,0.36,0.44,-1,0,-0.98,-0.27,-0.99,-0.83,-0.57,0,-0.83,0.86,-0.92,-0.84,-0.39,0.5,0.96,-0.65,-0.64,0.87,0.59,0.98,0.9,0.94,0.99,0.99,1,1,1,1,0.99,1,1,1,1,0.98,1,0.98,1,0.99,1,0.99,1,0.9,0.99,1,1,1,1,1,0.99,1,0.98,1,1,0.94,0.98,1,0.98,0.94
"8_P1-20-8",1,-0.53,0.68,-0.14,0.95,0.95,-0.47,1,-0.87,-0.26,-0.98,0.94,-0.96,-0.59,0.98,-0.12,0.93,0.99,-0.16,0.67,1,0.95,-0.89,1,-0.51,0.25,0.87,0.49,0.87,0.53,0.82,-1,-1,-1,0.72,0.62,-1,-0.98,0,-0.05,-1,-0.99,-0.12,0.21,-1,0.9,-1,-0.98,0.14,0.84,0.98,-1,-0.95,0.96,0.54,0.99,0.93,0.98,1,1,0.99,0.99,1,1,0.93,1,0.97,1,1,0.96,1,0.96,1,1,1,0.99,1,0.75,0.96,1,1,1,1,1,0.98,1,0.95,0.99,1,0.99,0.84,0.99,0.96,0.95
"8_P1-200-8",0.82,1,-0.19,0.94,1,0.89,0.98,0.71,0.99,0.66,0.96,-0.08,0.86,0.95,0.83,0.91,0.55,-0.72,0.74,0.88,0.97,0.5,0.42,-0.66,0.74,0.42,-0.54,0.64,-0.72,0.39,0.62,-0.06,0.36,0.38,-0.24,-0.85,-0.9,-0.27,-0.05,0,0.11,-0.85,-0.2,-0.97,-0.96,-1,-0.77,-0.76,-0.3,0.25,-1,-0.06,0.75,-0.48,0.2,-0.62,0.54,0.62,0.66,0.54,0.89,-0.43,0.88,0.89,-0.36,0.99,-0.06,0.99,0.98,-0.12,0.86,0.51,0.78,0.8,0.55,0.99,0.23,0.54,0.8,0.58,1,0.77,0.98,0.88,-0.05,0.96,-0.34,0.85,0.73,0.88,0.61,-0.33,0.96,0.94
