"","1_P1-100-0.22","1_P1-20-0.22","1_P1-200-0.22","1_P1-40-0.22","1_P1-60-0.22","2_P1-100-0.22","2_P1-20-0.22","2_P1-200-0.22","2_P1-40-0.22","2_P1-60-0.22","3_P1-20-0.22","3_P1-200-0.22","3_P1-40-0.22","3_P1-60-0.22","4_P1-90-0.22","4_P1-20-0.22","4_P1-100-0.22","4_P1-200-0.22","4_P1-40-0.22","4_P1-60-0.22","5_P1-20-0.22","3_P1-90-0.22","5_P1-100-0.22","5_P1-200-0.22","5_P1-40-0.22","5_P1-90-0.22","6_P1-100-0.22","6_P1-20-0.22","6_P1-200-0.22","6_P1-40-0.22","6_P1-60-0.22","7_P1-20-0.22","7_P1-40-0.22","7_P1-60-0.22","10_P1-20-0.22","10_P1-40-0.22","7_P1-105-0.22","7_P1-200-0.22","8_P1-100-0.22","8_P1-115-0.22","8_P1-20-0.22","8_P1-200-0.22","8_P1-40-0.22","8_P1-60-0.22","9_P1-100-0.22","9_P1-120-0.22","9_P1-20-0.22","9_P1-200-0.22","9_P1-40-0.22","9_P1-60-0.22","10_P1-100-0.22","10_P1-120-0.22","10_P1-200-0.22","10_P1-60-0.22","11_P1-100-0.22","11_P1-20-0.22","11_P1-200-0.22","11_P1-40-0.22","11_P1-60-0.22","11_P1-70-0.22","12_P1-100-0.22","12_P1-20-0.22","12_P1-200-0.22","12_P1-40-0.22","12_P1-60-0.22","13_P1-100-0.22","13_P1-20-0.22","13_P1-200-0.22","13_P1-40-0.22","13_P1-60-0.22","14_P1-100-0.22","14_P1-20-0.22","14_P1-200-0.22","14_P1-40-0.22","14_P1-60-0.22","12_P2-100-0.22","12_P2-20-0.22","12_P2-200-0.22","12_P2-40-0.22","12_P2-60-0.22","15_P2-100-0.22","15_P2-20-0.22","15_P2-200-0.22","15_P2-40-0.22","15_P2-60-0.22","17_P2-100-0.22","17_P2-20-0.22","17_P2-200-0.22","17_P2-40-0.22","17_P2-60-0.22","8_P2-100-0.22","8_P2-20-0.22","8_P2-200-0.22","8_P2-40-0.22","8_P2-60-0.22"
"12_P2-60-0.22",1,1,1,1,0.69,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.39,1,0.12,-0.45,0.96,0.08,-0.63,-0.17,-0.64,-0.78,-0.19,-0.58,0.62,-0.53,-0.35,1,0.97,1,0.97,0.99,-0.67,-0.99,0.99,-1,0,-0.81,-0.69,0.86,-0.67,0.13,0.97,0.9,0.92,0.35,0.85,0.28,0.82,1,0.64,-0.78
"15_P2-100-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,1,0.99,1,1,0.86,1,0.98,0.96,1,0.94,1,1,0.99,1,1,1,1,0.99,0.99,0.99,1,1,0.99,0.99,1,1,1,1,0.99,1,1,1,1,1,1,0.99,0.85,0.99,0.78,0.89,0.92,-0.06,-0.54,0.14,-0.54,-0.5,-0.99,-0.94,-0.98,-0.99,-0.99,-0.55,-0.9,-0.21,-0.94,-0.92,-0.39,-0.29,0.56,-0.53,-0.81,0,-0.99,-1,-1,-1,-1,-0.92,-0.81,-0.92,-0.96,0.59,0.93,0.91,0.95,0.6
"15_P2-20-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.98,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.83,1,0.76,0.84,1,0.79,-0.56,0.62,-0.23,-0.28,-0.46,-0.92,-0.34,-0.87,-0.78,0.51,-0.43,0.46,-0.58,-0.48,0.26,-0.78,1,-0.89,-0.69,-0.99,0,0.03,-1,-1,-0.64,-0.82,-0.01,-0.99,-0.83,0.88,0.94,1,0.89,0.56
"15_P2-200-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,0.85,1,1,0.98,1,0.9,1,1,0.99,1,1,1,1,1,0.99,1,1,1,0.88,1,1,1,1,1,0.99,1,1,1,1,1,1,1,0.99,1,1,0.99,1,0.85,0.77,0.88,0.9,0.91,-0.97,0.58,-0.97,0.38,0.27,-0.35,-0.14,-0.54,-0.31,-0.26,0.56,0.91,0.68,0.83,0.86,-1,0.03,0,-0.39,-0.47,-0.94,0.06,-1,-0.55,-0.29,0.99,1,0.98,1,0.95
"15_P2-40-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,0.65,0.83,0.98,0.8,-0.55,0.58,-0.39,-0.17,-0.78,-0.96,-0.76,-0.96,-0.93,-0.13,-0.87,0.21,-0.93,-0.92,0.13,-0.75,0.99,-0.84,-0.67,-1,-1,-0.39,0,-1,-0.98,-0.95,-0.31,-0.98,-0.96,0.8,0.92,1,0.88,0.58
"15_P2-60-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,1,1,0.99,1,0.99,1,0.99,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92,1,0.96,0.92,1,0.93,0.08,0.8,0.45,0.6,-0.7,-0.69,-0.55,-0.76,-0.78,0.42,-0.88,0.31,-0.93,-0.92,0.45,-0.23,0.99,-0.21,0.13,-1,-1,-0.47,-1,0,-0.96,-0.97,-0.57,-1,-0.99,0.98,0.99,1,0.99,0.81
"17_P2-100-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,1,1,1,1,0.85,1,0.96,0.99,1,0.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,0.99,1,1,0.99,1,1,0.98,1,0.95,0.93,0.99,0.98,1,-0.87,0.44,-0.84,0.3,0.54,-0.54,-0.99,0.21,-0.95,-0.97,0.91,0.86,1,0.93,0.97,-1,-0.64,-0.94,-0.98,-0.96,0,-1,-1,-1,-1,1,1,1,1,0.99
"17_P2-20-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,0.98,1,0.79,0.99,1,0.99,1,1,1,1,1,1,1,0.97,1,1,1,1,0.98,1,1,1,1,1,0.95,1,1,1,1,0.95,1,1,0.97,1,0.99,0.88,1,0.97,0.67,0.97,0.96,0.98,0.13,0.16,0.19,0.18,0.55,-0.04,-0.89,0.32,-0.71,-0.85,0.85,0.49,1,0.72,0.9,-0.92,-0.82,0.06,-0.95,-0.97,-1,0,-0.75,-1,-1,0.99,0.96,1,0.99,0.95
"17_P2-200-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.51,1,1,0.94,0.98,1,0.46,1,0.93,0.89,0.99,0.55,0.99,1,0.97,0.97,1,1,1,0.98,0.76,0.98,1,0.99,0.6,0.99,0.97,1,1,1,0.92,1,1,1,1,0.98,1,1,0.93,0.98,1,0.98,1,0.94,0.93,0.94,0.92,0.99,-0.59,0.6,-0.91,0.56,0.5,-0.59,-0.21,-0.96,-0.53,-0.39,0.7,0.79,0.58,0.71,0.92,-0.81,-0.01,-1,-0.31,-0.57,-1,-0.75,0,-0.69,-0.81,0.97,0.92,0.92,0.96,0.85
"17_P2-40-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.9,1,1,1,1,0.99,0.99,1,0.92,0.99,1,0.99,0.99,1,1,0.97,1,1,1,0.98,0.99,0.96,1,1,1,0.97,0.97,1,1,1,0.99,1,1,1,1,1,1,1,0.77,1,0.92,0.74,1,0.93,0.04,0.84,0.49,0.26,-0.09,-0.92,-0.26,-0.87,-0.79,-0.16,-0.99,-0.55,-1,-1,0.65,0.11,0.95,-0.14,0.35,-0.92,-0.99,-0.55,-0.98,-1,-1,-1,-0.69,0,-1,0.88,0.88,1,0.77,0.43
"17_P2-60-0.22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,0.96,1,0.99,0.91,1,0.98,0.51,0.97,0.77,0.75,-0.15,-0.69,-0.12,-0.53,-0.46,0.33,-0.96,-0.03,-0.99,-0.98,0.74,0.51,0.99,0.5,0.85,-0.96,-0.83,-0.29,-0.96,-0.99,-1,-1,-0.81,-1,0,0.98,0.99,1,0.99,0.93
"8_P2-100-0.22",-0.88,1,1,1,0.3,-0.78,1,0.95,1,1,1,1,1,1,0.99,0.99,0.95,0.97,1,0.99,1,0.77,0.74,1,1,1,0.97,0.96,1,0.69,0.7,1,1,1,1,1,-0.23,1,0.97,0.75,1,1,0.99,1,0.99,1,1,0.99,1,1,0.9,-0.38,0.77,1,0.57,-0.35,1,0.21,-0.96,-0.91,0.52,0.81,-0.13,0.98,0.95,0.85,0.99,0.98,1,1,1,1,1,1,1,-0.71,0.16,0.94,0.14,0.28,0.59,0.88,0.99,0.8,0.98,1,0.99,0.97,0.88,0.98,0,0.91,0.96,0.82,-0.43
"8_P2-20-0.22",1,1,1,1,-0.11,0.99,1,1,1,1,0.99,1,0.91,1,1,0.28,1,0.94,0.99,0.99,0.89,1,0.97,1,1,0.49,0.99,0.84,1,0.71,0.95,0.99,0.86,0.97,0.91,1,0.82,0.98,0.81,0.9,0.96,0.99,0.63,0.97,1,0.99,1,0.93,1,0.99,1,1,0.98,0.98,1,-1,1,-0.98,0.12,1,0.99,0.98,0.99,1,1,0.98,1,1,1,1,0.99,1,1,1,1,0.88,-0.93,1,-0.7,0.82,0.93,0.94,1,0.92,0.99,1,0.96,0.92,0.88,0.99,0.91,0,1,-1,-1
"8_P2-200-0.22",1,1,0.94,1,1,0.94,1,-0.06,1,1,1,0.99,1,1,1,1,1,0.04,1,1,1,1,1,0.04,1,1,0.88,1,0.04,1,1,1,1,1,1,1,0.9,0.97,1,1,1,0.91,1,1,1,1,1,0.26,1,1,1,1,0.06,1,1,0.99,0.83,1,0.84,1,0.92,1,0.71,1,1,0.81,1,0.99,1,1,1,1,0.99,1,1,-0.96,1,-0.99,1,1,0.91,1,0.98,1,1,1,1,0.92,1,1,0.96,1,0,1,1
"8_P2-40-0.22",0.95,0.85,1,0.97,-0.4,0.99,0.99,1,0.99,1,0.98,1,0.83,1,1,0.38,1,0.98,0.92,1,0.86,1,0.95,1,0.99,0.6,1,0.76,1,0.61,0.89,0.95,0.71,0.92,0.81,0.98,0.77,0.96,0.69,0.91,0.87,1,0.52,0.93,1,0.98,1,0.98,0.96,0.99,1,1,1,0.96,1,-1,1,-0.99,0.13,1,0.99,0.93,0.98,1,1,0.99,1,1,1,1,1,1,1,1,1,0.89,-0.96,1,-0.94,0.64,0.95,0.89,1,0.88,0.99,1,0.99,0.96,0.77,0.99,0.82,-1,1,0,-1
"8_P2-60-0.22",-0.17,0.25,1,0.64,-0.66,0.81,0.94,0.99,0.92,1,0.98,1,0.45,1,1,0.53,1,0.87,0.93,0.98,0.9,0.98,0.91,0.99,0.99,0.84,0.97,0.7,1,0.62,0.91,0.98,0.81,0.94,0.72,0.89,0.5,0.92,0.33,0.7,0.81,1,0.41,0.72,0.99,0.88,0.97,0.99,0.82,0.91,0.8,0.96,0.99,0.8,0.95,-1,1,-1,-0.52,0.73,0.91,0.52,0.64,0.85,0.77,0.85,0.84,0.98,0.93,0.97,1,0.97,0.98,0.99,0.99,0.26,-1,0.99,-1,-0.78,0.6,0.56,0.95,0.58,0.81,0.99,0.95,0.85,0.43,0.93,-0.43,-1,1,-1,0
