"","1_P1-100-0.22","1_P1-20-0.22","1_P1-200-0.22","1_P1-40-0.22","1_P1-60-0.22","2_P1-100-0.22","2_P1-20-0.22","2_P1-200-0.22","2_P1-40-0.22","2_P1-60-0.22","3_P1-20-0.22","3_P1-200-0.22","3_P1-40-0.22","3_P1-60-0.22","4_P1-90-0.22","4_P1-20-0.22","4_P1-100-0.22","4_P1-200-0.22","4_P1-40-0.22","4_P1-60-0.22","5_P1-20-0.22","3_P1-90-0.22","5_P1-100-0.22","5_P1-200-0.22","5_P1-40-0.22","5_P1-90-0.22","6_P1-100-0.22","6_P1-20-0.22","6_P1-200-0.22","6_P1-40-0.22","6_P1-60-0.22","7_P1-20-0.22","7_P1-40-0.22","7_P1-60-0.22","10_P1-20-0.22","10_P1-40-0.22","7_P1-105-0.22","7_P1-200-0.22","8_P1-100-0.22","8_P1-115-0.22","8_P1-20-0.22","8_P1-200-0.22","8_P1-40-0.22","8_P1-60-0.22","9_P1-100-0.22","9_P1-120-0.22","9_P1-20-0.22","9_P1-200-0.22","9_P1-40-0.22","9_P1-60-0.22","10_P1-100-0.22","10_P1-120-0.22","10_P1-200-0.22","10_P1-60-0.22","11_P1-100-0.22","11_P1-20-0.22","11_P1-200-0.22","11_P1-40-0.22","11_P1-60-0.22","11_P1-70-0.22","12_P1-100-0.22","12_P1-20-0.22","12_P1-200-0.22","12_P1-40-0.22","12_P1-60-0.22","13_P1-100-0.22","13_P1-20-0.22","13_P1-200-0.22","13_P1-40-0.22","13_P1-60-0.22","14_P1-100-0.22","14_P1-20-0.22","14_P1-200-0.22","14_P1-40-0.22","14_P1-60-0.22","12_P2-100-0.22","12_P2-20-0.22","12_P2-200-0.22","12_P2-40-0.22","12_P2-60-0.22","15_P2-100-0.22","15_P2-20-0.22","15_P2-200-0.22","15_P2-40-0.22","15_P2-60-0.22","17_P2-100-0.22","17_P2-20-0.22","17_P2-200-0.22","17_P2-40-0.22","17_P2-60-0.22","8_P2-100-0.22","8_P2-20-0.22","8_P2-200-0.22","8_P2-40-0.22","8_P2-60-0.22"
"6_P1-20-0.22",0.87,-0.03,1,-0.12,0.34,0.43,-0.53,1,-0.67,0.49,-0.57,1,-0.7,0.2,-0.34,-1,0.57,0.78,-1,-1,-0.98,0.49,-0.48,0.99,-1,-0.99,0.8,0,0.98,-1,-0.98,-0.91,-0.86,-0.92,-0.74,-0.44,-0.42,0.05,-0.86,-0.67,-0.75,1,-0.76,-0.69,0.4,-0.24,-0.42,0.99,-0.69,-0.39,0.86,0.93,0.99,-0.19,0.98,0.43,1,0.74,0.55,0.95,1,0.92,0.99,0.98,0.99,1,1,1,1,1,0.99,1,0.99,1,1,1,0.92,1,0.91,1,1,0.99,1,0.99,0.99,1,1,0.99,1,1,0.96,0.84,1,0.76,0.7
"6_P1-200-0.22",1,1,0.99,1,1,0.99,1,0.59,1,1,0.98,0.21,1,1,1,0.99,1,-0.83,1,1,0.88,0.97,1,-0.99,0.81,0.9,0.52,0.98,0,0.98,1,0.72,0.96,0.99,1,1,0.91,-0.59,0.95,1,0.98,-0.54,0.94,0.96,1,1,0.89,-0.08,1,1,1,1,0.44,1,1,0.99,0.76,1,1,1,0.63,1,1,0.98,1,0.81,1,0.99,1,1,-0.69,1,0.37,1,1,0.96,1,0.61,1,1,0.94,1,0.9,1,1,0.84,0.99,0.55,0.99,1,1,1,0.04,1,1
"6_P1-40-0.22",0.65,0.57,1,0.54,0.19,0.06,-0.32,1,-0.48,0.7,-0.2,1,-0.74,0.11,-0.9,-0.97,-0.28,0.55,-0.98,-1,-0.92,-0.32,-0.91,0.96,-0.93,-0.95,0.51,-1,0.98,0,-1,-0.81,-0.78,-0.93,-0.51,-0.15,-0.84,-0.09,-0.84,-0.83,-0.54,0.99,-0.66,-0.64,-0.32,-0.52,0.01,0.97,-0.69,-0.25,0.65,0.57,0.96,-0.03,0.96,0.22,1,0.42,0.26,0.86,0.99,0.83,0.98,0.99,0.97,1,1,1,1,1,1,1,1,1,1,1,0.89,1,0.88,0.99,1,0.98,1,0.99,0.99,1,1,0.99,0.99,1,0.69,0.71,1,0.61,0.62
"6_P1-60-0.22",0.58,0.94,1,0.94,0.64,-0.17,0.54,0.99,0.38,0.95,0.35,1,-0.27,0.36,-0.98,-0.7,-0.87,0.71,-0.48,-1,-0.52,-0.72,-1,0.97,-0.13,-0.8,0.3,-0.98,1,-1,0,-0.14,-0.41,-0.52,0.02,0.66,-0.94,0.36,-0.57,-0.52,-0.03,0.99,-0.32,-0.19,-0.52,-0.16,0.73,0.96,0.01,0.4,0.75,0.19,0.95,0.59,0.97,0.66,1,0.79,0.43,0.88,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,1,1,1,1,1,1,1,0.7,0.95,1,0.89,0.91
"7_P1-20-0.22",0.91,-0.33,1,-0.61,-0.67,0.77,-1,1,-0.9,-0.76,-1,1,-1,-0.99,0.89,-0.87,1,0.5,-0.62,0.39,-0.99,0.58,0.38,0.67,-1,-1,0.9,-0.91,0.72,-0.81,-0.14,0,-1,-1,-1,-1,0.3,-0.83,-1,-0.82,-1,1,-1,-0.99,-0.53,-0.92,-1,0.97,-0.99,-1,0.91,0.86,0.98,-0.98,1,0.64,1,0.99,0.88,1,1,1,1,1,1,0.98,1,1,1,1,0.97,1,1,1,1,1,1,1,1,1,0.99,1,0.99,1,1,1,1,0.97,1,1,1,0.99,1,0.95,0.98
"7_P1-40-0.22",-0.3,-1,1,-1,-0.92,0.54,-1,1,-1,-1,-1,1,-1,-1,0.68,-0.88,0.87,0.56,-0.55,-0.18,-0.99,0.42,0.08,0.95,-0.99,-0.92,0.94,-0.86,0.96,-0.78,-0.41,-1,0,-1,-1,-1,-0.11,-1,-1,-0.61,-1,1,-1,-1,-1,-1,-1,0.94,-1,-1,-0.69,0.32,0.97,-1,0.99,0.17,1,0.92,0.87,1,1,0.99,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,1,0.98,1,1,1,1,1,1,1,1,0.97,0.97,1,1,0.86,1,0.71,0.81
"7_P1-60-0.22",0.38,-0.97,1,-0.95,-0.73,0.56,-1,1,-1,-0.89,-1,1,-1,-1,0.87,-0.89,0.98,0.76,-0.76,-0.08,-0.99,0.47,0.2,0.99,-0.99,-0.98,0.96,-0.92,0.99,-0.93,-0.52,-1,-1,0,-1,-1,-0.1,-0.83,-1,-0.35,-1,1,-1,-1,-0.99,-1,-1,0.99,-1,-1,0.08,0.83,0.99,-1,1,0.57,1,0.99,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97,1,0.92,0.94
"10_P1-20-0.22",0.75,-0.96,1,-0.99,-0.87,0.45,-1,1,-1,-0.97,-1,1,-1,-1,0.94,-0.93,0.99,0.66,-0.58,0.38,-0.98,0.67,0.42,1,-0.85,-0.97,0.94,-0.74,1,-0.51,0.02,-1,-1,-1,0,-1,0.17,-0.92,-1,-0.73,-1,1,-1,-1,-0.99,-1,-1,0.97,-1,-1,0.03,0.6,0.97,-1,1,0.12,1,0.96,0.82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,0.91,1,0.81,0.72
"10_P1-40-0.22",1,-0.4,1,-0.97,-0.88,0.03,-1,1,-1,-0.91,-1,1,-1,-1,0.99,-0.72,1,0.96,0.52,0.82,-0.96,0.79,0.89,1,-0.42,-0.89,0.97,-0.44,1,-0.15,0.66,-1,-1,-1,-1,0,0.19,-0.13,-1,-0.95,-1,1,-1,-1,-0.98,-1,-1,0.95,-1,-1,0.42,0.86,0.89,-1,1,0.06,1,0.99,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,0.89
"7_P1-105-0.22",0.2,0.95,0.9,0.94,0.05,-0.86,0.75,0.72,0.69,0.76,0.7,0.9,-0.37,-0.12,-0.86,0.03,-0.83,0.43,0.31,-0.81,0.09,-0.9,-0.85,0.88,0.53,-0.46,-0.23,-0.42,0.91,-0.84,-0.94,0.3,-0.11,-0.1,0.17,0.19,0,-0.17,-0.61,-0.93,0.15,0.42,-0.34,-0.25,-0.95,-0.65,0.58,0.28,0,0.17,-0.72,-0.79,0.04,0.28,0.46,-0.08,0.94,0.53,-0.25,-0.44,0.79,0.96,0.65,0.98,0.99,0.99,1,1,1,1,0.99,1,1,1,1,0.87,0.91,0.98,0.89,0.96,0.99,0.99,1,1,0.99,1,0.97,0.98,0.98,0.99,-0.23,0.82,0.9,0.77,0.5
"7_P1-200-0.22",0.92,0.41,1,0.37,-0.54,0.58,-0.12,0.92,-0.21,0.58,-0.67,0.72,-0.97,0.29,0.97,0.11,0.98,-0.59,0.7,0.7,-0.49,0.62,0.55,0.15,-0.09,-0.58,0.51,0.05,-0.59,-0.09,0.36,-0.83,-1,-0.83,-0.92,-0.13,-0.17,0,-0.99,-0.04,-0.94,-0.72,-1,-0.98,-0.31,-0.73,-0.1,-0.28,-0.78,-0.76,0.77,0.61,0.09,-0.47,0.99,0.56,0.99,0.98,0.82,1,1,1,0.99,1,1,0.99,1,0.97,1,1,0.99,1,0.26,1,1,0.92,0.99,0.81,0.99,1,0.99,1,0.99,1,1,1,1,0.76,0.99,1,1,0.98,0.97,0.96,0.92
